tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
110-05593,US-50,WESTBOUND,CHESTER RIVER BEACH RD/EXIT 43B,MD,QUEEN ANNES,21638,38.96176,-76.20521,38.962899997605,-76.2120199893,0.376006,87.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05592,US-50,WESTBOUND,MD-18/MAIN ST/EXIT 43A,MD,QUEEN ANNES,21638,38.96331,-76.21388,38.96491,-76.2212,0.408434,89.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04363,US-50,EASTBOUND,WILLIAM PRESTON LANE BRIDGE,MD,ANNE ARUNDEL,21409,39.01297,-76.40715,39.00799,-76.40386,0.386776,243.0,America/New_York,P3.2,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05595,US-50,WESTBOUND,EVANS AVE/EXIT 44B,MD,QUEEN ANNES,21638,38.96528,-76.19314,38.96372,-76.1976,0.262692,83.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04362,US-50,EASTBOUND,WILLIAM P LANE BRIDGE TOLL PLAZA,MD,ANNE ARUNDEL,21409,39.0168,-76.40976,39.01358,-76.40751,0.253874,242.0,America/New_York,P3.16,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05594,US-50,WESTBOUND,STATION LN/VFW AVE/EXIT 44A,MD,QUEEN ANNES,21638,38.96338,-76.19856,38.96182,-76.20389,0.307023,85.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05591,US-50,WESTBOUND,MD-18/MAIN ST/EXIT 42,MD,QUEEN ANNES,21638,38.96506,-76.22194,38.96818,-76.23623,0.797227,91.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05588,US-50,EASTBOUND,PINEY RD/S PINEY RD/EXIT 40A,MD,QUEEN ANNES,21619,38.97438,-76.26976,38.9742,-76.26866,0.06037,256.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05590,US-50,WESTBOUND,MD-18/MAIN ST/EXIT 41,MD,QUEEN ANNES,21638,38.96852,-76.23784,38.97235,-76.25491,0.956344,93.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05589,US-50,EASTBOUND,DUNDEE AVE/EXIT 40B,MD,QUEEN ANNES,21619,38.97332,-76.26325,38.97309,-76.2618,0.07948,258.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05586,US-50,EASTBOUND,CASTLE MARINA RD/EXIT 39A,MD,QUEEN ANNES,21619,38.97585,-76.29037,38.9759,-76.28905,0.070981,252.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-06205,US-301,SOUTHBOUND,MD-213/CENTREVILLE RD,MD,QUEEN ANNES,21617,39.0247,-76.03007,39.01521,-76.07218,2.386833,32.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05587,US-50,EASTBOUND,DOMINION RD/EXIT 39B,MD,QUEEN ANNES,21619,38.97544,-76.28157,38.97533,-76.28022,0.072897,254.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05584,US-50,EASTBOUND,THOMPSON CREEK RD/DUKE ST,MD,QUEEN ANNES,21666,38.9765,-76.31126,38.97612,-76.30965,0.090359,248.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05585,US-50,EASTBOUND,MD-18/MAIN ST/EXIT 38,MD,QUEEN ANNES,21619,38.97469,-76.30223,38.97571,-76.29186,0.56793,250.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04361,US-50,EASTBOUND,OCEANIC DR/EXIT 32,MD,ANNE ARUNDEL,21409,39.02189,-76.42219,39.01985,-76.41466,0.428186,240.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05597,US-50,WESTBOUND,NESBIT RD/EXIT 45B,MD,QUEEN ANNES,21658,38.9743,-76.17531,38.96894,-76.18285,0.552604,79.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05582,US-50,EASTBOUND,WILLIAM PRESTON LANE BRIDGE,MD,QUEEN ANNES,21666,38.99074,-76.37166,38.983330007052,-76.340040030345,1.77336,245.001,America/New_York,P3.2,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04360,US-50,EASTBOUND,WHITEHALL RD/EXIT 31,MD,ANNE ARUNDEL,21409,39.02584,-76.4384,39.022330009658,-76.423870037724,0.817174,238.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05596,US-50,WESTBOUND,HESS RD/HISSEY RD/EXIT 45A,MD,QUEEN ANNES,21658,38.96741,-76.18703,38.96569,-76.19194,0.289274,81.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05583,US-50,EASTBOUND,MD-8/EXIT 37,MD,QUEEN ANNES,21666,38.98002,-76.32664,38.97796,-76.31778,0.496653,246.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05599,US-301,SOUTHBOUND,US-50,MD,QUEEN ANNES,21658,38.98477,-76.16133,38.98133,-76.16835,0.446936,39.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-06204,US-301,SOUTHBOUND,BLOOMINGDALE RD,MD,QUEEN ANNES,21617,39.01462,-76.0802,39.01432,-76.08423,0.21733,34.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-06203,US-301,SOUTHBOUND,MD-456/DEL RHODES AVE,MD,QUEEN ANNES,21658,39.01432,-76.08423,38.98845,-76.15086,4.121379,35.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N04361,US-50,WESTBOUND,OCEANIC DR/EXIT 32,MD,ANNE ARUNDEL,21409,39.01529,-76.4082,39.020059995561,-76.414629983355,0.490645,113.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N04362,US-50,WESTBOUND,WILLIAM P LANE BRG TOLL PLAZA,MD,ANNE ARUNDEL,21409,39.01303,-76.40686,39.01364,-76.40724,0.046816,111.5,America/New_York,P3.16,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N04363,US-50,WESTBOUND,WILLIAM PRESTON LANE BRIDGE,MD,ANNE ARUNDEL,21409,38.99189,-76.37109,39.008299987308,-76.403689991099,2.213731,110.0,America/New_York,P3.2,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N04360,US-50,WESTBOUND,WHITEHALL RD/EXIT 31,MD,ANNE ARUNDEL,21409,39.02204,-76.42214,39.02249,-76.42386,0.097403,115.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N04359,US-50,WESTBOUND,WHITEHALL RD/EXIT 30,MD,ANNE ARUNDEL,21409,39.02588,-76.43777,39.02623,-76.44009,0.126836,117.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04359,US-50,EASTBOUND,WHITEHALL RD/EXIT 30,MD,ANNE ARUNDEL,21409,39.0269,-76.44812,39.02608,-76.44008,0.435212,236.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05600,US-301,SOUTHBOUND,MD-18/MAIN ST,MD,QUEEN ANNES,21658,38.98576,-76.15875,38.98477,-76.16133,0.154513,38.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04354,US-50,EASTBOUND,MD-70/ROWE BLVD/EXIT 24,MD,ANNE ARUNDEL,21401,38.98697,-76.53227,38.99269,-76.51861,0.833216,224.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05582,US-50,WESTBOUND,WILLIAM PRESTON LANE BRIDGE,MD,QUEEN ANNES,21666,38.98014,-76.32569,38.984459996212,-76.339309983985,0.794553,109.0,America/New_York,P3.2,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04353,US-50,EASTBOUND,MD-2/JENNIFER RD/EXIT 23,MD,ANNE ARUNDEL,21401,38.98509,-76.53972,38.98604,-76.53546,0.237979,222.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04352,US-50,EASTBOUND,MD-450/EXIT 23,MD,ANNE ARUNDEL,21401,38.9829,-76.54954,38.98466,-76.54166,0.440264,220.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05584,US-50,WESTBOUND,THOMPSON CREEK RD/DUKE ST,MD,QUEEN ANNES,21666,38.9749,-76.30225,38.97634,-76.30971,0.413605,105.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04351,US-50,EASTBOUND,MD-665/ARIS ALLEN BLVD/EXIT 21-22,MD,ANNE ARUNDEL,21401,38.98297,-76.56118,38.9828,-76.56024,0.051838,218.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
