tmc_code,dist,length
110-05597,8.996581212,0.553
110N05598,8.443581212,0.248
110-05596,8.195581212,0.289
110N05596,7.906581212,0.07
110-05595,7.836581212,0.263
110N05595,7.573581212,0.057
110-05594,7.516581212,0.307
110N05594,7.209581212,0.071
110-05593,7.138581212,0.376
110N05593,6.762581212,0.104
110-05592,6.658581212,0.408
110N05592,6.250581212,0.041
110-05591,6.209581212,0.797
110N05591,5.412581212,0.09
110-05590,5.322581212,0.956
110N05590,4.366581212,0.077940947
110-05589,4.288640265,0.316134966
110N05589,3.972505299,0.056024695
110-05588,3.916480604,0.26839058
110N05588,3.648090024,0.05670497
110-05587,3.591385054,0.607168569
110N05587,2.984216485,0.061610867
110-05586,2.922605618,0.424004678
110N05586,2.49860094,0.047304486
110-05585,2.451296454,0.087829932
110N05585,2.363466522,0.572437079
110-05584,1.791029443,0.413606595
110N05584,1.377422848,0.08339479
110-05583,1.294028058,0.360298515
110N05583,0.933729543,0.453729543
110-05582,0.48,0.48
